SN,BIN,Shape,FAI156,FAI156-P1,FAI156-P2,FAI156-P3,FAI156-P4,FAI156-P5,FAI156-P6,FAI156-P7,FAI156-P8,FAI156-P9,FAI156-P10,FAI156-P11,FAI156-P12,FAI156-P13,FAI156-P14,FAI156-P15,FAI156-P16,FAI156-P17,FAI156-P18,FAI156-P19,FAI156-P20
1605,,,0.169,-0.012,-0.013,-0.016,-0.002,-0.027,-0.057,-0.028,0.004,0.049,0.112,0.077,0.057,0.011,-0.022,-0.052,-0.056,-0.013,-0.001,0.001,-0.009
1606,,,0.176,-0.001,-0.003,-0.006,-0.004,-0.02,-0.037,-0.021,0.011,0.067,0.098,0.048,0.012,-0.019,-0.055,-0.078,-0.067,-0.012,0.011,0.034,0.042
1607,,,0.236,-0.032,-0.031,-0.026,-0.004,-0.037,-0.083,-0.032,0.009,0.054,0.153,0.117,0.102,0.032,-0.011,-0.058,-0.056,-0.018,-0.014,-0.025,-0.041
1608,,,0.158,0.017,0.014,0.003,-0.004,-0.012,-0.014,-0.018,0.007,0.06,0.066,0.014,-0.031,-0.033,-0.066,-0.077,-0.067,-0.011,0.016,0.054,0.081
1609,,,0.26,-0.034,-0.03,-0.027,0.001,-0.041,-0.094,-0.039,0.003,0.05,0.166,0.132,0.119,0.034,-0.003,-0.051,-0.06,-0.034,-0.031,-0.032,-0.028
1610,,,0.272,-0.034,-0.032,-0.03,-0.002,-0.044,-0.094,-0.04,0.003,0.053,0.178,0.141,0.125,0.039,-0.003,-0.056,-0.075,-0.046,-0.047,-0.035,-0.003
1611,,,0.135,-0.003,-0.006,-0.016,-0.013,-0.027,-0.042,-0.023,0.001,0.018,0.08,0.064,0.054,0.047,0.013,-0.023,-0.055,-0.039,-0.031,-0.01,0.011
1612,,,0.202,0.003,-0.001,-0.012,-0.015,-0.03,-0.043,-0.027,0.01,0.074,0.12,0.067,0.024,-0.008,-0.047,-0.076,-0.082,-0.04,-0.02,0.026,0.077
1613,,,0.195,-0.043,-0.035,-0.02,0.016,-0.025,-0.075,-0.01,0.027,0.027,0.12,0.099,0.095,0.019,-0.015,-0.059,-0.056,-0.012,-0.008,-0.015,-0.03
1614,,,0.288,-0.033,-0.031,-0.027,0.009,-0.046,-0.114,-0.049,-0.003,0.04,0.174,0.148,0.146,0.044,0.005,-0.049,-0.06,-0.035,-0.036,-0.045,-0.039
1615,,,0.234,-0.01,-0.019,-0.024,-0.017,-0.049,-0.086,-0.039,0.006,0.049,0.148,0.119,0.103,0.048,0.003,-0.042,-0.07,-0.057,-0.048,-0.023,0.008
1616,,,0.269,-0.036,-0.038,-0.034,-0.008,-0.044,-0.086,-0.035,0.011,0.062,0.183,0.141,0.117,0.039,-0.008,-0.058,-0.077,-0.051,-0.046,-0.027,-0.004
1617,,,0.283,-0.042,-0.04,-0.033,-0.001,-0.047,-0.104,-0.042,0.006,0.051,0.179,0.151,0.141,0.046,0.006,-0.048,-0.059,-0.03,-0.03,-0.042,-0.061
1618,,,0.121,-0.018,-0.013,-0.005,0.013,-0.007,-0.028,0.003,0.021,0.026,0.06,0.034,0.02,-0.013,-0.042,-0.061,-0.05,0.001,0.02,0.024,0.015
1619,,,0.298,-0.039,-0.037,-0.027,0.01,-0.045,-0.126,-0.049,-0.003,0.028,0.172,0.155,0.17,0.059,0.019,-0.04,-0.051,-0.028,-0.039,-0.056,-0.074
1620,,,0.136,-0.003,0.001,0.003,0.01,0,-0.005,0.009,0.027,0.039,0.044,0.002,-0.032,-0.048,-0.079,-0.075,-0.052,0.014,0.039,0.057,0.049
1621,,,0.217,-0.024,-0.026,-0.024,-0.003,-0.032,-0.072,-0.031,0.011,0.062,0.145,0.104,0.079,0.018,-0.025,-0.062,-0.064,-0.023,-0.009,-0.006,-0.016
1622,,,0.291,-0.042,-0.039,-0.028,0.016,-0.042,-0.117,-0.037,0.007,0.043,0.174,0.145,0.148,0.036,-0.004,-0.059,-0.063,-0.03,-0.024,-0.037,-0.048
1623,,,0.212,-0.013,-0.012,-0.015,0.005,-0.034,-0.084,-0.039,-0.002,0.038,0.128,0.097,0.091,0.021,-0.009,-0.049,-0.058,-0.022,-0.019,-0.014,-0.009
1624,,,0.185,-0.001,-0.007,-0.013,-0.009,-0.026,-0.047,-0.026,0.009,0.068,0.112,0.065,0.029,-0.007,-0.044,-0.073,-0.067,-0.013,0.004,0.023,0.024
